Packet Count, Jetson Time
776,1679939663.699921
777,1679939663.7201705
778,1679939663.7203565
779,1679939663.740709
780,1679939663.7409272
781,1679939663.761938
782,1679939663.7620685
783,1679939663.7791345
784,1679939663.7792475
785,1679939663.7793276
786,1679939663.7997377
787,1679939663.7998643
788,1679939663.8202796
789,1679939663.820399
790,1679939663.8409514
791,1679939663.8411047
792,1679939663.860787
793,1679939663.8608978
794,1679939663.8893876
795,1679939663.8895016
796,1679939663.889624
797,1679939663.9094603
798,1679939663.9096663
799,1679939663.9294405
800,1679939663.9295423
801,1679939663.9495957
802,1679939663.9497566
803,1679939663.970544
804,1679939663.9706807
805,1679939663.9894023
806,1679939663.9896216
807,1679939663.9897628
808,1679939664.1007664
809,1679939664.1030097
810,1679939664.2954316
811,1679939664.297106
812,1679939664.50661
813,1679939664.50803
814,1679939664.7057252
815,1679939664.706671
816,1679939664.9064674
817,1679939664.908085
818,1679939664.1116424
819,1679939664.1117892
820,1679939664.1394308
821,1679939664.1395626
822,1679939664.139706
823,1679939664.1593316
824,1679939664.159628
825,1679939664.179201
826,1679939664.1793597
827,1679939664.2003076
828,1679939664.200446
829,1679939664.2202623
830,1679939664.220378
831,1679939664.2390912
832,1679939664.239231
833,1679939664.239356
834,1679939664.259213
835,1679939664.2593076
836,1679939664.2799516
837,1679939664.2800786
838,1679939664.300904
839,1679939664.3010411
840,1679939664.3198662
841,1679939664.3200572
842,1679939664.341452
843,1679939664.341645
844,1679939664.3690455
845,1679939664.369216
846,1679939664.369318
847,1679939664.38852
848,1679939664.388648
849,1679939664.408829
850,1679939664.4089973
851,1679939664.431012
852,1679939664.4311385
853,1679939664.4544387
854,1679939664.45455
855,1679939664.4698915
856,1679939664.4699967
857,1679939664.4905295
858,1679939664.4906073
859,1679939664.4907212
860,1679939664.515948
861,1679939664.5186534
862,1679939664.5482433
863,1679939664.5486476
864,1679939664.5562792
865,1679939664.5566993
866,1679939664.5727406
867,1679939664.5729475
